pdb_id,classification,method
6uex,TRANSFERASE,X-RAY DIFFRACTION
1hms,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
3r8g,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,X-RAY DIFFRACTION
1vbu,HYDROLASE,X-RAY DIFFRACTION
2g81,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
4x6x,Hydrolase/Hydrolase Inhibitor,X-RAY DIFFRACTION
6tb0,TRANSFERASE,X-RAY DIFFRACTION
3te4,TRANSFERASE,X-RAY DIFFRACTION
2c8m,LIGASE,X-RAY DIFFRACTION
7awd,DNA BINDING PROTEIN,X-RAY DIFFRACTION
3s8g,OXIDOREDUCTASE,X-RAY DIFFRACTION
3guz,LIGASE,X-RAY DIFFRACTION
6ps7,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5mwy,SIGNALING PROTEIN,X-RAY DIFFRACTION
6sbe,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
2vcv,TRANSFERASE,X-RAY DIFFRACTION
8sfu,TRANSFERASE,X-RAY DIFFRACTION
2gpu,TRANSCRIPTION,X-RAY DIFFRACTION
2zyh,HYDROLASE,X-RAY DIFFRACTION
6bd9,TRANSFERASE,X-RAY DIFFRACTION
3kgq,HYDROLASE,X-RAY DIFFRACTION
5jse,VIRAL PROTEIN,X-RAY DIFFRACTION
7t1e,IMMUNE SYSTEM,X-RAY DIFFRACTION
6su4,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5dxe,Hormone receptor/peptide,X-RAY DIFFRACTION
7cqm,TRANSFERASE,X-RAY DIFFRACTION
1izc,LYASE,X-RAY DIFFRACTION
7c60,CYTOSOLIC PROTEIN,X-RAY DIFFRACTION
5v42,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
1een,HYDROLASE,X-RAY DIFFRACTION
1fkj,ROTAMASE,X-RAY DIFFRACTION
3hrq,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
5nx5,LIGASE,X-RAY DIFFRACTION
3b7s,HYDROLASE,X-RAY DIFFRACTION
3l68,OXIDOREDUCTASE,X-RAY DIFFRACTION
6h2n,TRANSFERASE,X-RAY DIFFRACTION
8r5b,LIGASE,X-RAY DIFFRACTION
5jdi,OXIDOREDUCTASE,X-RAY DIFFRACTION
5x18,TRANSFERASE,X-RAY DIFFRACTION
7pna,OXIDOREDUCTASE,X-RAY DIFFRACTION
5t9c,HYDROLASE,X-RAY DIFFRACTION
6c6f,IMMUNE SYSTEM,X-RAY DIFFRACTION
1g0c,HYDROLASE,X-RAY DIFFRACTION
4g3q,TRANSFERASE,X-RAY DIFFRACTION
7yyb,TRANSFERASE,X-RAY DIFFRACTION
8gmk,CYTOSOLIC PROTEIN,X-RAY DIFFRACTION
4hg9,HYDROLASE,X-RAY DIFFRACTION
6d1c,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
3tfg,SIGNALING PROTEIN,X-RAY DIFFRACTION
3t6d,ELECTRON TRANSPORT,X-RAY DIFFRACTION
4mlq,TRANSFERASE,X-RAY DIFFRACTION
3l1n,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
8s4c,PROTEIN BINDING,X-RAY DIFFRACTION
2hts,TRANSCRIPTION FACTOR,X-RAY DIFFRACTION
5gsm,HYDROLASE,X-RAY DIFFRACTION
5xk7,TRANSFERASE,X-RAY DIFFRACTION
6iix,TRANSFERASE,X-RAY DIFFRACTION
4kx4,ELECTRON TRANSPORT,X-RAY DIFFRACTION
6lop,LYASE,X-RAY DIFFRACTION
4c2o,HYDROLASE,X-RAY DIFFRACTION
1oh0,ISOMERASE,X-RAY DIFFRACTION
7vqa,TRANSFERASE,X-RAY DIFFRACTION
8a8r,TRANSCRIPTION,X-RAY DIFFRACTION
4u82,TRANSFERASE,X-RAY DIFFRACTION
5wqc,SIGNALING PROTEIN,X-RAY DIFFRACTION
3wl4,HYDROLASE,X-RAY DIFFRACTION
1z10,OXIDOREDUCTASE,X-RAY DIFFRACTION
2dg4,ISOMERASE,X-RAY DIFFRACTION
5ff2,OXIDOREDUCTASE,X-RAY DIFFRACTION
3nf7,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
5hwa,HYDROLASE,X-RAY DIFFRACTION
3ix3,TRANSCRIPTION,X-RAY DIFFRACTION
4pm1,Thyroid hormone-binding protein,X-RAY DIFFRACTION
3p5z,LYASE,X-RAY DIFFRACTION
1i7q,LYASE,X-RAY DIFFRACTION
5ir5,OXIDOREDUCTASE,X-RAY DIFFRACTION
5d2j,LYASE,X-RAY DIFFRACTION
4jzb,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
3vpd,LIGASE,X-RAY DIFFRACTION
5uto,TRANSPORT PROTEIN,X-RAY DIFFRACTION
3cmf,OXIDOREDUCTASE,X-RAY DIFFRACTION
5u97,OXIDOREDUCTASE,X-RAY DIFFRACTION
1rx0,OXIDOREDUCTASE,X-RAY DIFFRACTION
7uj7,TRANSCRIPTION,X-RAY DIFFRACTION
3cs6,GENE REGULATION,X-RAY DIFFRACTION
2h2b,CELL ADHESION,X-RAY DIFFRACTION
2cbo,ANTIBIOTIC,X-RAY DIFFRACTION
5kf2,TRANSFERASE,X-RAY DIFFRACTION
3t92,TRANSFERASE,X-RAY DIFFRACTION
5azb,TRANSFERASE,X-RAY DIFFRACTION
4drp,ISOMERASE,X-RAY DIFFRACTION
3f66,TRANSFERASE,X-RAY DIFFRACTION
4wx0,OXIDOREDUCTASE,X-RAY DIFFRACTION
5x7e,OXIDOREDUCTASE,X-RAY DIFFRACTION
5nyb,HYDROLASE,X-RAY DIFFRACTION
1h1i,OXIDOREDUCTASE,X-RAY DIFFRACTION
2rdn,OXIDOREDUCTASE,X-RAY DIFFRACTION
6e8p,LYASE,X-RAY DIFFRACTION
1o9p,HYDROLASE,X-RAY DIFFRACTION
5wqi,ISOMERASE,X-RAY DIFFRACTION
8cno,HYDROLASE,X-RAY DIFFRACTION
3h3j,OXIDOREDUCTASE,X-RAY DIFFRACTION
4feg,OXIDOREDUCTASE,X-RAY DIFFRACTION
5b09,LYASE,X-RAY DIFFRACTION
3ix4,TRANSCRIPTION,X-RAY DIFFRACTION
4iib,HYDROLASE,X-RAY DIFFRACTION
1spj,HYDROLASE,X-RAY DIFFRACTION
2ea7,PLANT PROTEIN,X-RAY DIFFRACTION
4oas,ligase/ligase inhibitor,X-RAY DIFFRACTION
8v09,ISOMERASE,X-RAY DIFFRACTION
1sz8,HYDROLASE,X-RAY DIFFRACTION
5kd6,TRANSFERASE,X-RAY DIFFRACTION
7q38,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5csd,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
1lke,LIGAND BINDING PROTEIN,X-RAY DIFFRACTION
1szo,HYDROLASE,X-RAY DIFFRACTION
2h6f,TRANSFERASE,X-RAY DIFFRACTION
2vdf,MEMBRANE PROTEIN,X-RAY DIFFRACTION
1jcz,LYASE,X-RAY DIFFRACTION
3ozy,UNKNOWN FUNCTION,X-RAY DIFFRACTION
4dgm,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
4hup,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
4wy2,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",X-RAY DIFFRACTION
6d6d,signaling protein/agonist,X-RAY DIFFRACTION
6cj3,LYASE,X-RAY DIFFRACTION
4zsh,TRANSCRIPTION,X-RAY DIFFRACTION
2i5n,PHOTOSYNTHESIS,X-RAY DIFFRACTION
4aq4,DIESTER-BINDING PROTEIN,X-RAY DIFFRACTION
5b41,TRANSCRIPTION,X-RAY DIFFRACTION
5flj,OXIDOREDUCTASE,X-RAY DIFFRACTION
3l2a,RNA BINDING PROTEIN,X-RAY DIFFRACTION
4tsq,TOXIN,X-RAY DIFFRACTION
3cz0,Pheromone Binding Protein,X-RAY DIFFRACTION
4tjz,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2qbl,OXIDOREDUCTASE,X-RAY DIFFRACTION
6d1a,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
3szu,OXIDOREDUCTASE,X-RAY DIFFRACTION
6uto,CYTOSOLIC PROTEIN,X-RAY DIFFRACTION
7v8w,HYDROLASE,X-RAY DIFFRACTION
2q7l,HORMONE,X-RAY DIFFRACTION
4n6h,SIGNALING PROTEIN,X-RAY DIFFRACTION
7byt,HYDROLASE,X-RAY DIFFRACTION
7cc3,TRANSFERASE,X-RAY DIFFRACTION
6dd0,HYDROLASE,X-RAY DIFFRACTION
1pp0,TOXIN,X-RAY DIFFRACTION
7p9x,OXIDOREDUCTASE,X-RAY DIFFRACTION
7rs4,TRANSCRIPTION/TRANSCRIPTION INHIBITOR,X-RAY DIFFRACTION
5var,OXIDOREDUCTASE,X-RAY DIFFRACTION
2hu9,METAL TRANSPORT,X-RAY DIFFRACTION
3log,ISOMERASE,X-RAY DIFFRACTION
2zsi,Hormone Receptor,X-RAY DIFFRACTION
4h03,TOXIN/STRUCTURAL PROTEIN,X-RAY DIFFRACTION
3gh4,HYDROLASE,X-RAY DIFFRACTION
3web,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
5c49,TRANSFERASE,X-RAY DIFFRACTION
3ke9,OXIDOREDUCTASE,X-RAY DIFFRACTION
7kr9,TRANSFERASE,X-RAY DIFFRACTION
8ind,TRANSFERASE,X-RAY DIFFRACTION
3vm4,OXIDOREDUCTASE,X-RAY DIFFRACTION
5o7y,OXIDOREDUCTASE,X-RAY DIFFRACTION
3l0l,TRANSCRIPTION,X-RAY DIFFRACTION
6ufb,LYASE/LYASE INHIBITOR,X-RAY DIFFRACTION
8jdb,OXIDOREDUCTASE,X-RAY DIFFRACTION
5xp6,HYDROLASE,X-RAY DIFFRACTION
1v73,HYDROLASE,X-RAY DIFFRACTION
4b5s,LYASE,X-RAY DIFFRACTION
4pww,DE NOVO PROTEIN,X-RAY DIFFRACTION
1t0f,DNA BINDING PROTEIN,X-RAY DIFFRACTION
8q2p,TRANSFERASE,X-RAY DIFFRACTION
1tfj,LIPID TRANSPORT,X-RAY DIFFRACTION
7fez,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
1xxq,SUGAR BINDING PROTEIN,X-RAY DIFFRACTION
1s0j,HYDROLASE,X-RAY DIFFRACTION
3v7z,HYDROLASE,X-RAY DIFFRACTION
2j8c,ELECTRON TRANSPORT,X-RAY DIFFRACTION
8c0q,LYASE,X-RAY DIFFRACTION
1keq,LYASE,X-RAY DIFFRACTION
5kp4,ISOMERASE,X-RAY DIFFRACTION
2zku,TRANSFERASE,X-RAY DIFFRACTION
8aej,TRANSPORT PROTEIN,X-RAY DIFFRACTION
3l8e,HYDROLASE,X-RAY DIFFRACTION
1c9y,TRANSFERASE,X-RAY DIFFRACTION
7o0k,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2q70,TRANSCRIPTION,X-RAY DIFFRACTION
1znd,TRANSPORT PROTEIN,X-RAY DIFFRACTION
1n55,ISOMERASE,X-RAY DIFFRACTION
2y7g,LYASE,X-RAY DIFFRACTION
4qnd,MEMBRANE PROTEIN,X-RAY DIFFRACTION
8jdx,OXIDOREDUCTASE,X-RAY DIFFRACTION
3i6i,OXIDOREDUCTASE,X-RAY DIFFRACTION
4wh2,TRANSFERASE,X-RAY DIFFRACTION
5woo,TRANSFERASE,X-RAY DIFFRACTION
6m74,OXIDOREDUCTASE,X-RAY DIFFRACTION
1t32,HYDROLASE,X-RAY DIFFRACTION
3wfg,TRANSCRIPTION/INHIBITOR,X-RAY DIFFRACTION
8jjt,TRANSFERASE,X-RAY DIFFRACTION
3cn1,"hormone, Transport protein",X-RAY DIFFRACTION
5k2d,MEMBRANE PROTEIN,X-RAY DIFFRACTION
4fqe,MEMBRANE PROTEIN,X-RAY DIFFRACTION
3zgl,OXIDOREDUCTASE,X-RAY DIFFRACTION
5z3s,SIGNALING PROTEIN,X-RAY DIFFRACTION
3dd2,Hydrolase/HYDROLASE INHIBITOR/RNA,X-RAY DIFFRACTION
6cj4,LYASE,X-RAY DIFFRACTION
5v3x,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
1n5u,PLASMA PROTEIN,X-RAY DIFFRACTION
6d6a,signaling protein/agonist,X-RAY DIFFRACTION
3dr8,TRANSFERASE,X-RAY DIFFRACTION
4xbk,LYASE,X-RAY DIFFRACTION
6tbe,HYDROLASE,X-RAY DIFFRACTION
5ib0,TRANSFERASE,X-RAY DIFFRACTION
8jdo,OXIDOREDUCTASE,X-RAY DIFFRACTION
4lfg,TRANSFERASE,X-RAY DIFFRACTION
4dgn,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
3kfh,TRANSPORT PROTEIN,X-RAY DIFFRACTION
3n2u,Hydrolase/Hydrolase inhibitor,X-RAY DIFFRACTION
4xh4,TRANSFERASE,X-RAY DIFFRACTION
8jyf,SIGNALING PROTEIN,X-RAY DIFFRACTION
3qe3,OXIDOREDUCTASE,X-RAY DIFFRACTION
6y1u,ANTIBIOTIC,X-RAY DIFFRACTION
1lnm,LIGAND BINDING PROTEIN,X-RAY DIFFRACTION
2wsb,OXIDOREDUCTASE,X-RAY DIFFRACTION
3hss,HYDROLASE,X-RAY DIFFRACTION
5w5r,TRANSFERASE,X-RAY DIFFRACTION
4duk,HYDROLASE,X-RAY DIFFRACTION
6u1u,SIGNALING PROTEIN,X-RAY DIFFRACTION
1yb1,OXIDOREDUCTASE,X-RAY DIFFRACTION
8a73,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
4nnt,LIPID BINDING PROTEIN/INHIBITOR,X-RAY DIFFRACTION
3vwd,TRANSFERASE,X-RAY DIFFRACTION
4c6z,TRANSFERASE,X-RAY DIFFRACTION
5xpn,TRANSCRIPTION,X-RAY DIFFRACTION
6lgv,TRANSPORT PROTEIN,X-RAY DIFFRACTION
7a5v,MEMBRANE PROTEIN,ELECTRON MICROSCOPY
2yyk,OXIDOREDUCTASE,X-RAY DIFFRACTION
7jvy,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
3ine,HYDROLASE,X-RAY DIFFRACTION
6dj6,TRANSFERASE,X-RAY DIFFRACTION
6r5h,HYDROLASE,X-RAY DIFFRACTION
4pq0,"REPLICATION, TRANSCRIPTION",X-RAY DIFFRACTION
6vpf,TRANSFERASE,X-RAY DIFFRACTION
4ufv,TRANSFERASE,X-RAY DIFFRACTION
1ry0,OXIDOREDUCTASE,X-RAY DIFFRACTION
5kki,HYDROLASE,X-RAY DIFFRACTION
3pdw,HYDROLASE,X-RAY DIFFRACTION
4ply,OXIDOREDUCTASE,X-RAY DIFFRACTION
6m88,TRANSFERASE/TRANSFERASE Inhibitor,X-RAY DIFFRACTION
6k0s,HYDROLASE,X-RAY DIFFRACTION
1kor,LIGASE,X-RAY DIFFRACTION
6alw,TRANSFERASE,X-RAY DIFFRACTION
6m89,TRANSFERASE/TRANSFERASE Inhibitor,X-RAY DIFFRACTION
1h1m,OXIDOREDUCTASE,X-RAY DIFFRACTION
6yf0,ISOMERASE,X-RAY DIFFRACTION
7e5v,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
7ekd,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
3o2g,OXIDOREDUCTASE,X-RAY DIFFRACTION
4lmm,PROTEIN BINDING,X-RAY DIFFRACTION
5zf9,OXIDOREDUCTASE,X-RAY DIFFRACTION
7ujo,TRANSCRIPTION,X-RAY DIFFRACTION
4kwh,OXIDOREDUCTASE,X-RAY DIFFRACTION
6gaf,MEMBRANE PROTEIN,X-RAY DIFFRACTION
2og7,"OXIDOREDUCTASE, ELECTRON TRANSPORT",X-RAY DIFFRACTION
5ecm,LIGASE/TRANSFERASE,X-RAY DIFFRACTION
3mp8,HISTONE BINDING PROTEIN,X-RAY DIFFRACTION
6sj4,HYDROLASE,X-RAY DIFFRACTION
3u9q,TRANSCRIPTION,X-RAY DIFFRACTION
5olg,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5wci,TRANSFERASE,X-RAY DIFFRACTION
3u3n,PROTEIN BINDING,X-RAY DIFFRACTION
6d49,IMMUNE SYSTEM,X-RAY DIFFRACTION
4kvl,OXIDOREDUCTASE,X-RAY DIFFRACTION
1qyw,OXIDOREDUCTASE,X-RAY DIFFRACTION
6lpk,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5zf4,OXIDOREDUCTASE,X-RAY DIFFRACTION
3ix8,TRANSCRIPTION,X-RAY DIFFRACTION
5v13,Hormone-binding protein,X-RAY DIFFRACTION
2f8a,OXIDOREDUCTASE,X-RAY DIFFRACTION
3vwv,OXIDOREDUCTASE,X-RAY DIFFRACTION
4yse,OXIDOREDUCTASE,X-RAY DIFFRACTION
5glm,HYDROLASE,X-RAY DIFFRACTION
7o8i,MEMBRANE PROTEIN,X-RAY DIFFRACTION
6d6n,signaling protein/agonist,X-RAY DIFFRACTION
3zs3,ALLERGEN,X-RAY DIFFRACTION
6n95,LYASE,X-RAY DIFFRACTION
5v6q,OXIDOREDUCTASE,X-RAY DIFFRACTION
4lh2,OXIDOREDUCTASE,X-RAY DIFFRACTION
2aac,TRANSCRIPTION FACTOR,X-RAY DIFFRACTION
8h0m,FLAVOPROTEIN,X-RAY DIFFRACTION
1sdi,"structural genomics, unknown function",X-RAY DIFFRACTION
2cb9,HYDROLASE,X-RAY DIFFRACTION
2bk3,OXIDOREDUCTASE,X-RAY DIFFRACTION
1o4m,SIGNALING PROTEIN,X-RAY DIFFRACTION
5ypl,HYDROLASE,X-RAY DIFFRACTION
5ra6,TRANSFERASE,X-RAY DIFFRACTION
5s7g,TRANSFERASE,X-RAY DIFFRACTION
6a6s,OXIDOREDUCTASE,X-RAY DIFFRACTION
3vcy,TRANSFERASE/ANTIBIOTIC,X-RAY DIFFRACTION
8w44,TRANSPORT PROTEIN,X-RAY DIFFRACTION
2qa8,TRANSCRIPTION,X-RAY DIFFRACTION
7ea4,HYDROLASE,X-RAY DIFFRACTION
6lpj,MEMBRANE PROTEIN,X-RAY DIFFRACTION
3v7n,LYASE,X-RAY DIFFRACTION
5trq,OXIDOREDUCTASE,X-RAY DIFFRACTION
4ucf,HYDROLASE,X-RAY DIFFRACTION
4rje,OXIDOREDUCTASE,X-RAY DIFFRACTION
4cvb,OXIDOREDUCTASE,X-RAY DIFFRACTION
2wjm,PHOTOSYNTHESIS,X-RAY DIFFRACTION
5tw5,immune system/inhibitor,X-RAY DIFFRACTION
6oz1,OXIDOREDUCTASE,X-RAY DIFFRACTION
6sc1,HYDROLASE,X-RAY DIFFRACTION
5hkg,ISOMERASE,X-RAY DIFFRACTION
5gmn,LYASE,X-RAY DIFFRACTION
6eev,OXIDOREDUCTASE,X-RAY DIFFRACTION
1dai,LIGASE,X-RAY DIFFRACTION
2jaf,MEMBRANE PROTEIN,X-RAY DIFFRACTION
3ed1,HYDROLASE RECEPTOR,X-RAY DIFFRACTION
1q44,TRANSFERASE,X-RAY DIFFRACTION
1wvf,OXIDOREDUCTASE,X-RAY DIFFRACTION
3cn0,"Hormone, Transport protein",X-RAY DIFFRACTION
3i83,OXIDOREDUCTASE,X-RAY DIFFRACTION
6kfq,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5wuu,TRANSCRIPTION,X-RAY DIFFRACTION
6yf1,ISOMERASE,X-RAY DIFFRACTION
3phx,Hydrolase/Protein Binding,X-RAY DIFFRACTION
6dwd,hydrolase/hydrolase inhibitor,X-RAY DIFFRACTION
6dke,TRANSFERASE,X-RAY DIFFRACTION
7o8l,MEMBRANE PROTEIN,X-RAY DIFFRACTION
8r5d,LIGASE,X-RAY DIFFRACTION
9bzr,HYDROLASE,X-RAY DIFFRACTION
4ph9,OXIDOREDUCTASE,X-RAY DIFFRACTION
5xoi,OXIDOREDUCTASE,X-RAY DIFFRACTION
2hka,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
5y8j,OXIDOREDUCTASE,X-RAY DIFFRACTION
3pde,TRANSFERASE,X-RAY DIFFRACTION
3imu,HORMONE,X-RAY DIFFRACTION
5u90,OXIDOREDUCTASE,X-RAY DIFFRACTION
5tie,HYDROLASE,X-RAY DIFFRACTION
7tux,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
1xe7,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",X-RAY DIFFRACTION
2adf,BLOOD CLOTTING/IMMUNE SYSTEM,X-RAY DIFFRACTION
4qvt,TRANSFERASE,X-RAY DIFFRACTION
7qos,TRANSFERASE,X-RAY DIFFRACTION
4bt4,LYASE,X-RAY DIFFRACTION
1xg5,OXIDOREDUCTASE,X-RAY DIFFRACTION
1zo9,OXIDOREDUCTASE,X-RAY DIFFRACTION
2bjf,HYDROLASE,X-RAY DIFFRACTION
7vo6,ONCOPROTEIN,X-RAY DIFFRACTION
2og5,OXIDOREDUCTASE,X-RAY DIFFRACTION
7d0p,TRANSFERASE,X-RAY DIFFRACTION
7w3p,TRANSCRIPTION,X-RAY DIFFRACTION
2olw,ISOMERASE,X-RAY DIFFRACTION
3qp2,TRANSCRIPTION,X-RAY DIFFRACTION
5u0w,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
7ebw,TRANSFERASE,X-RAY DIFFRACTION
7g0x,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
8a0o,TRANSFERASE,X-RAY DIFFRACTION
3qxx,LIGASE,X-RAY DIFFRACTION
5bjv,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5u8z,OXIDOREDUCTASE,X-RAY DIFFRACTION
7zfm,ANTIVIRAL PROTEIN,X-RAY DIFFRACTION
6m9c,Hydrolase/Hydrolase inhibitor,X-RAY DIFFRACTION
1lhw,TRANSPORT PROTEIN,X-RAY DIFFRACTION
1lid,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6fmx,HYDROLASE,X-RAY DIFFRACTION
3tjl,OXIDOREDUCTASE,X-RAY DIFFRACTION
3dlt,HYDROLASE,X-RAY DIFFRACTION
6z5d,TRANSFERASE,X-RAY DIFFRACTION
3we5,LIGASE,X-RAY DIFFRACTION
1fjq,HYDROLASE,X-RAY DIFFRACTION
6ajx,TRANSCRIPTION,X-RAY DIFFRACTION
4krt,HYDROLASE,X-RAY DIFFRACTION
4uwc,TRANSFERASE,X-RAY DIFFRACTION
2aa6,TRANSCRIPTION,X-RAY DIFFRACTION
3r1p,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6pxf,HYDROLASE/HYDROLASE Inhibitor,X-RAY DIFFRACTION
1kv9,OXIDOREDUCTASE,X-RAY DIFFRACTION
2ag4,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2qhu,TRANSFERASE,X-RAY DIFFRACTION
4wbj,CHAPERONE,X-RAY DIFFRACTION
3f8d,OXIDOREDUCTASE,X-RAY DIFFRACTION
7a78,DNA BINDING PROTEIN,X-RAY DIFFRACTION
4mzy,TRANSFERASE,X-RAY DIFFRACTION
4a1y,TRANSPORT,X-RAY DIFFRACTION
1nq7,TRANSCRIPTION,X-RAY DIFFRACTION
1g97,TRANSFERASE,X-RAY DIFFRACTION
5lu3,SUGAR BINDING PROTEIN,X-RAY DIFFRACTION
4zn7,TRANSCRIPTION,X-RAY DIFFRACTION
6c32,TRANSFERASE,X-RAY DIFFRACTION
7fdu,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
1zkj,HYDROLASE,X-RAY DIFFRACTION
3cwe,HYDROLASE,X-RAY DIFFRACTION
1qkm,NUCLEAR RECEPTOR,X-RAY DIFFRACTION
4b1y,STRUCTURAL PROTEIN,X-RAY DIFFRACTION
4hwh,APOPTOSIS,X-RAY DIFFRACTION
2ds2,PLANT PROTEIN,X-RAY DIFFRACTION
4ryq,MEMBRANE PROTEIN,X-RAY DIFFRACTION
1cjw,TRANSFERASE,X-RAY DIFFRACTION
6wfo,TRANSFERASE/INHIBITOR,X-RAY DIFFRACTION
7fo6,SPLICING,X-RAY DIFFRACTION
8t5t,LIPID TRANSPORT,X-RAY DIFFRACTION
6mb1,TRANSFERASE,X-RAY DIFFRACTION
4px1,TRANSFERASE,X-RAY DIFFRACTION
7fcx,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
5w8k,OXIDOREDUCTASE,X-RAY DIFFRACTION
4tw3,OXIDOREDUCTASE,X-RAY DIFFRACTION
4j6c,oxidoreductase/substrate,X-RAY DIFFRACTION
6a42,DNA BINDING PROTEIN,X-RAY DIFFRACTION
1sx6,LIPID TRANSPORT,X-RAY DIFFRACTION
6rqz,HYDROLASE,X-RAY DIFFRACTION
3wuc,SUGAR BINDING PROTEIN,X-RAY DIFFRACTION
5l2j,IMMUNE SYSTEM,X-RAY DIFFRACTION
1kqw,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5y6u,UNKNOWN FUNCTION,X-RAY DIFFRACTION
5ntn,SIGNALING PROTEIN,X-RAY DIFFRACTION
4lh1,OXIDOREDUCTASE,X-RAY DIFFRACTION
5ufg,OXIDOREDUCTASE,X-RAY DIFFRACTION
3kef,OXIDOREDUCTASE,X-RAY DIFFRACTION
8e10,TRANSFERASE,X-RAY DIFFRACTION
1wb4,HYDROLASE,X-RAY DIFFRACTION
7ybg,VIRAL PROTEIN,X-RAY DIFFRACTION
5qxp,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
3mno,HORMONE RECEPTOR,X-RAY DIFFRACTION
2c27,SYNTHASE,X-RAY DIFFRACTION
5g67,OXIDOREDUCTASE,X-RAY DIFFRACTION
6nok,TRANSFERASE,X-RAY DIFFRACTION
1uo9,OXIDOREDUCTASE,X-RAY DIFFRACTION
6c6j,IMMUNE SYSTEM,X-RAY DIFFRACTION
7jrw,HYDROLASE,X-RAY DIFFRACTION
4wjm,TRANSFERASE,X-RAY DIFFRACTION
8jy9,SIGNALING PROTEIN,X-RAY DIFFRACTION
3gmo,IMMUNE SYSTEM,X-RAY DIFFRACTION
1y7w,LYASE,X-RAY DIFFRACTION
5fl4,LYASE,X-RAY DIFFRACTION
2y7f,LYASE,X-RAY DIFFRACTION
3a3z,GENE REGULATION,X-RAY DIFFRACTION
5oxo,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6xo1,IMMUNE SYSTEM,X-RAY DIFFRACTION
3ims,HORMONE,X-RAY DIFFRACTION
5a89,TRANSFERASE,X-RAY DIFFRACTION
7wpw,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
3fsy,TRANSFERASE,X-RAY DIFFRACTION
8pz4,MEMBRANE PROTEIN,X-RAY DIFFRACTION
2vsu,LYASE,X-RAY DIFFRACTION
8f0k,SIGNALING PROTEIN/IMMUNE SYSTEM,ELECTRON MICROSCOPY
4cav,TRANSFERASE,X-RAY DIFFRACTION
6ga5,MEMBRANE PROTEIN,X-RAY DIFFRACTION
8gst,HYDROLASE,X-RAY DIFFRACTION
5ac3,HYDROLASE,X-RAY DIFFRACTION
2v95,TRANSPORT PROTEIN,X-RAY DIFFRACTION
1h2b,OXIDOREDUCTASE,X-RAY DIFFRACTION
6loo,LYASE,X-RAY DIFFRACTION
4lgz,OXIDOREDUCTASE,X-RAY DIFFRACTION
1sqn,HORMONE/GROWTH FACTOR RECEPTOR,X-RAY DIFFRACTION
3qss,OXIDOREDUCTASE,X-RAY DIFFRACTION
4zsf,PROTEIN/DNA,X-RAY DIFFRACTION
1a8s,HALOPEROXIDASE,X-RAY DIFFRACTION
1ghe,TRANSFERASE,X-RAY DIFFRACTION
8olj,RNA BINDING PROTEIN,X-RAY DIFFRACTION
6sti,TRANSCRIPTION,X-RAY DIFFRACTION
