pdb_id,classification,method
7fg1,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2uuu,TRANSFERASE,X-RAY DIFFRACTION
4ytt,ISOMERASE,X-RAY DIFFRACTION
7vvc,HYDROLASE,X-RAY DIFFRACTION
4ha4,HYDROLASE,X-RAY DIFFRACTION
1x09,TRANSFERASE,X-RAY DIFFRACTION
3vhv,TRANSCRIPTION/INHIBITOR,X-RAY DIFFRACTION
5ljg,retinol-binding protein,X-RAY DIFFRACTION
6o3r,HYDROLASE,X-RAY DIFFRACTION
8fjo,OXIDOREDUCTASE/SUBSTRATE,X-RAY DIFFRACTION
1rjk,hormone/growth factor receptor,X-RAY DIFFRACTION
7o1z,OXIDOREDUCTASE,X-RAY DIFFRACTION
1tj9,HYDROLASE,X-RAY DIFFRACTION
8w46,TRANSPORT PROTEIN,X-RAY DIFFRACTION
3a40,GENE REGULATION,X-RAY DIFFRACTION
6isk,LYASE,X-RAY DIFFRACTION
6obo,TOXIN,X-RAY DIFFRACTION
4c9p,OXIDOREDUCTASE,X-RAY DIFFRACTION
6qce,HYDROLASE,X-RAY DIFFRACTION
6lm1,MEMBRANE PROTEIN,X-RAY DIFFRACTION
4f9d,HYDROLASE,X-RAY DIFFRACTION
1uka,HYDROLASE,X-RAY DIFFRACTION
6d1f,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
4tkh,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6pk0,HYDROLASE,X-RAY DIFFRACTION
8a0r,TRANSFERASE,X-RAY DIFFRACTION
5ey5,LYASE,X-RAY DIFFRACTION
1t1v,SIGNALING PROTEIN,X-RAY DIFFRACTION
6y8s,OXIDOREDUCTASE,X-RAY DIFFRACTION
4xo7,OXIDOREDUCTASE,X-RAY DIFFRACTION
8p7k,HYDROLASE,X-RAY DIFFRACTION
1g8f,TRANSFERASE,X-RAY DIFFRACTION
1t7f,HORMONE/GROWTH FACTOR RECEPTOR,X-RAY DIFFRACTION
1xm8,HYDROLASE,X-RAY DIFFRACTION
1fm4,ALLERGEN,X-RAY DIFFRACTION
1uuy,CHELATASE,X-RAY DIFFRACTION
5j1a,immune system/inhibitor,X-RAY DIFFRACTION
3a4v,OXIDOREDUCTASE,X-RAY DIFFRACTION
3cl5,HYDROLASE,X-RAY DIFFRACTION
5xj9,TRANSFERASE,X-RAY DIFFRACTION
1pda,TRANSFERASE,X-RAY DIFFRACTION
6uaf,HYDROLASE,X-RAY DIFFRACTION
6w9m,HORMONE,X-RAY DIFFRACTION
7z6w,TRANSPORT PROTEIN,X-RAY DIFFRACTION
3bej,TRANSCRIPTION REGULATOR,X-RAY DIFFRACTION
1r5l,TRANSPORT PROTEIN,X-RAY DIFFRACTION
2xz9,TRANSFERASE,X-RAY DIFFRACTION
3qp1,TRANSCRIPTION,X-RAY DIFFRACTION
4z7e,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5y9y,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
8a7k,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
8wr2,PROTEIN BINDING,X-RAY DIFFRACTION
4qfi,HYDROLASE,X-RAY DIFFRACTION
4kct,TRANSFERASE,X-RAY DIFFRACTION
3q12,LIGASE,X-RAY DIFFRACTION
1be0,DEHALOGENASE,X-RAY DIFFRACTION
5ntk,NUCLEAR PROTEIN,X-RAY DIFFRACTION
5k6a,OXIDOREDUCTASE,X-RAY DIFFRACTION
3ftx,HYDROLASE,X-RAY DIFFRACTION
4mys,LYASE,X-RAY DIFFRACTION
3ert,NUCLEAR RECEPTOR,X-RAY DIFFRACTION
2hzl,"LIGAND BINDING, TRANSPORT PROTEIN",X-RAY DIFFRACTION
5dxg,Hormone Receptor/peptide,X-RAY DIFFRACTION
3mhe,ISOMERASE,X-RAY DIFFRACTION
3r3w,HYDROLASE,X-RAY DIFFRACTION
1uk6,HYDROLASE,X-RAY DIFFRACTION
3nq9,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5b49,HYDROLASE,X-RAY DIFFRACTION
5djo,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5ghx,HYDROLASE,X-RAY DIFFRACTION
3up0,STEROID BINDING PROTEIN/TRANSCRIPTION,X-RAY DIFFRACTION
7u6j,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
1db1,GENE REGULATION,X-RAY DIFFRACTION
3eau,"TRANSPORT PROTEIN, oxidoreductase",X-RAY DIFFRACTION
3v1n,HYDROLASE,X-RAY DIFFRACTION
5v38,TOXIN,X-RAY DIFFRACTION
3cb7,HYDROLASE,X-RAY DIFFRACTION
3gip,HYDROLASE,X-RAY DIFFRACTION
1xow,TRANSCRIPTION,X-RAY DIFFRACTION
7fhb,TRANSFERASE,X-RAY DIFFRACTION
7ecr,OXIDOREDUCTASE,X-RAY DIFFRACTION
3txz,OXIDOREDUCTASE,X-RAY DIFFRACTION
7ebv,TRANSFERASE,X-RAY DIFFRACTION
5y8l,OXIDOREDUCTASE,X-RAY DIFFRACTION
5b2n,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5awz,PROTON TRANSPORT,X-RAY DIFFRACTION
4pdl,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6ypa,HYDROLASE,X-RAY DIFFRACTION
7fbm,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
3kl0,HYDROLASE,X-RAY DIFFRACTION
6tdg,TRANSFERASE,X-RAY DIFFRACTION
7wx7,TRANSFERASE,X-RAY DIFFRACTION
3uqa,"Isomerase, protein binding",X-RAY DIFFRACTION
2v0i,TRANSFERASE,X-RAY DIFFRACTION
7b0p,MEMBRANE PROTEIN,X-RAY DIFFRACTION
6qde,TRANSFERASE,X-RAY DIFFRACTION
7c2z,GENE REGULATION,X-RAY DIFFRACTION
4jyi,Transcription/Agonist,X-RAY DIFFRACTION
2epo,HYDROLASE,X-RAY DIFFRACTION
2hfk,HYDROLASE,X-RAY DIFFRACTION
5uzc,oxidoreductase/oxidoreductase inhibitor,X-RAY DIFFRACTION
7qd2,PHOTOSYNTHESIS,X-RAY DIFFRACTION
1gp6,OXIDOREDUCTASE,X-RAY DIFFRACTION
6iiq,DNA BINDING PROTEIN/DNA,X-RAY DIFFRACTION
5t1e,OXIDOREDUCTASE,X-RAY DIFFRACTION
6l7h,TRANSFERASE,X-RAY DIFFRACTION
5zxk,SIGNALING PROTEIN,X-RAY DIFFRACTION
3sj4,ELECTRON TRANSPORT,X-RAY DIFFRACTION
6i3k,OXIDOREDUCTASE,X-RAY DIFFRACTION
7cl9,OXIDOREDUCTASE,X-RAY DIFFRACTION
4h4e,OXIDOREDUCTASE/OXIDOREDUCTASE INHIBITOR,X-RAY DIFFRACTION
1vch,TRANSFERASE,X-RAY DIFFRACTION
7pzf,MEMBRANE PROTEIN,X-RAY DIFFRACTION
7w15,TRANSFERASE,X-RAY DIFFRACTION
2aba,OXIDOREDUCTASE,X-RAY DIFFRACTION
4bt3,LYASE,X-RAY DIFFRACTION
5av0,TRANSFERASE,X-RAY DIFFRACTION
2x32,CARBOHYDRATE-BINDING PROTEIN,X-RAY DIFFRACTION
3o1v,OXIDOREDUCTASE,X-RAY DIFFRACTION
